job_key,reference,title,company,category,seniority,city,remote,contract,salary_from,salary_to,posted,latitude,longitude,first_seen,last_seen,is_open
JHL9ICKD-2026-08-10,JHL9ICKD,Cybersecurity Officer,"AVENGA (Agencja Pracy, nr KRAZ: 8448)",security,Mid,Wrocław,False,b2b,24360.0,28560.0,2026-08-09,51.10929480000001,17.0386019,2026-08-08,2026-08-10,True
LUYGWIBC-2026-08-10,LUYGWIBC,Senior SAP Consultant ,ITFS Sp. z o.o.,erp,Senior,,True,b2b,36960.0,42000.0,2026-08-09,,,2026-08-08,2026-08-10,True
ZLHSJRDP-2026-08-10,ZLHSJRDP,DevOps Engineer ,Duco Technology Poland Sp.  z o.o.,devops,Mid,Wrocław,False,permanent,20000.0,25000.0,2026-08-07,51.10929480000001,17.0386019,2026-08-08,2026-08-10,True
78PMQIP4-2026-08-10,78PMQIP4,Production Engineering Specialist,Mindbox Sp. z o.o.,backend,Mid,Kraków,False,b2b,21000.0,25200.0,2026-08-08,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
ZENIJPI3-2026-08-10,ZENIJPI3,Manual Mobile QA Specialist,Antal,testing,Senior,Wrocław,False,b2b,15120.0,21000.0,2026-08-07,51.10929480000001,17.0386019,2026-08-08,2026-08-10,True
CPKCDHPU-2026-08-10,CPKCDHPU,Vulnerability Management Operations Analyst,Mindbox Sp. z o.o.,data,Mid,Kraków,False,b2b,25200.0,29400.0,2026-08-09,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
BUCCWI2U-2026-08-10,BUCCWI2U,Senior Java Developer,Antal,backend,Senior,Warszawa,False,b2b,21840.0,25200.0,2026-08-04,52.2296756,21.0122287,2026-08-08,2026-08-10,True
9VWAKHGI-2026-08-10,9VWAKHGI,Senior Data Modeller,GFT Poland,data,Senior,,True,b2b,26040.0,34440.0,2026-08-09,,,2026-08-08,2026-08-10,True
MZZJPSXK-2026-08-10,MZZJPSXK,Manager IT,Antal,other,Expert,Warszawa,False,permanent,18000.0,23000.0,2026-08-04,52.2296756,21.0122287,2026-08-08,2026-08-10,True
OGO0PYSF-2026-08-10,OGO0PYSF,Site Reliability Engineer (SRE),Connectis_,devops,Mid,Kraków,True,b2b,20000.0,23000.0,2026-08-08,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
AGFH5GRY-2026-08-10,AGFH5GRY,Senior QA Manual Engineer [M/F],Arche Solutions,testing,Senior,Warszawa,False,b2b,13440.0,15120.0,2026-08-07,52.2296756,21.0122287,2026-08-08,2026-08-10,True
4FTDJH0P-2026-08-10,4FTDJH0P,IT Project Manager (SAP),Bayer,projectManager,Senior,Warszawa,False,permanent,20240.0,25300.0,2026-08-08,52.2296756,21.0122287,2026-08-08,2026-08-10,True
T7ZQT2NP-2026-08-10,T7ZQT2NP,Senior .Net Backend Engineer,Ework Group,backend,Senior,,True,b2b,25200.0,31752.0,2026-08-09,,,2026-08-08,2026-08-10,True
DJBN8AOM-2026-08-10,DJBN8AOM,Lead AI Engineer,Bayer,artificialIntelligence,Expert,Warszawa,False,permanent,25760.0,32300.0,2026-08-09,52.2296756,21.0122287,2026-08-08,2026-08-10,True
1G63AJD7-2026-08-10,1G63AJD7,Cloud Infrastructure Engineer (AWS),Ringier Axel Springer Tech,devops,Mid,Kraków,False,b2b,12400.0,20600.0,2026-08-09,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
UVOQI5EF-2026-08-10,UVOQI5EF,Senior Salesforce Administrator - CPQ / Revenue Cloud (f/m/x),Sii Polska,sysAdministrator,Senior,Kraków,False,b2b,18900.0,29400.0,2026-08-07,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
5LOTTWUQ-2026-08-10,5LOTTWUQ,Senior Quality Engineer | C# / Node.js & IoT Microservices x 1 FTE,Antal,testing,Senior,Wrocław,True,b2b,16800.0,20160.0,2026-07-28,51.10929480000001,17.0386019,2026-08-08,2026-08-10,True
19PMYTKS-2026-08-10,19PMYTKS,Solution Architecture Practice Lead & Architecture Community Lead,Roche,architecture,Mid,Warszawa,False,permanent,23300.0,43300.0,2026-08-06,52.2296756,21.0122287,2026-08-08,2026-08-10,True
AZJBD8PQ-2026-08-10,AZJBD8PQ,Infrastructure engineer,XIAG,sysAdministrator,Senior,Warszawa,False,b2b,17000.0,23000.0,2026-08-09,52.2296756,21.0122287,2026-08-08,2026-08-10,True
C99Q9OT8-2026-08-10,C99Q9OT8,Senior Cloud Platform Engineer,Wyden AG,architecture,Senior,Wrocław,True,b2b,32277.0,38733.0,2026-08-07,51.10929480000001,17.0386019,2026-08-08,2026-08-10,True
N3NNLYT0-2026-08-10,N3NNLYT0,DevOps Engineering Manager (f/m/x),Sii Polska,devops,Senior,Kraków,False,permanent,20000.0,25000.0,2026-08-05,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
HPHDVJQQ-2026-08-10,HPHDVJQQ,Database Administrator (Oracle),Verita HR,support,Senior,Kraków,False,b2b,25000.0,29000.0,2026-08-03,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
9BEYSWMQ-2026-08-10,9BEYSWMQ,Java Developer,Unity-T Group,backend,Mid,Kraków,False,b2b,10000.0,17000.0,2026-07-28,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
UZ9VFCBH-2026-08-10,UZ9VFCBH,Drukarz Fleksograficzny (k/m),HR WISE Sp. z o.o.,logistics,Mid,Kraków,False,permanent,9000.0,14000.0,2026-07-26,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
YCPLPJAC-2026-08-10,YCPLPJAC,Senior Devops/Platform Engineer ,Link Group,devops,Senior,Warszawa,False,b2b,33600.0,42000.0,2026-08-06,52.2296756,21.0122287,2026-08-08,2026-08-10,True
QTI894T2-2026-08-10,QTI894T2,"Senior Data Consultant (Hadoop, Spark)",GFT Poland,data,Senior,Kraków,False,b2b,21000.0,27384.0,2026-07-16,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
NAB55FQX-2026-08-10,NAB55FQX,Data Engineer (Fulfillment),Tesco Technology,data,Mid,Kraków,False,permanent,20000.0,26000.0,2026-08-09,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
IBP6V77Y-2026-08-10,IBP6V77Y,Data Analyst,Ework Group,data,Mid,Warszawa,False,b2b,21840.0,25200.0,2026-08-07,52.2296756,21.0122287,2026-08-08,2026-08-10,True
2XHAXA6V-2026-08-10,2XHAXA6V,Business Analyst (IoT projects),Antal,businessAnalyst,Senior,Wrocław,True,b2b,16800.0,21840.0,2026-07-28,51.10929480000001,17.0386019,2026-08-08,2026-08-10,True
TODTKOBP-2026-08-10,TODTKOBP,Senior Java Engineer,Verita HR,backend,Senior,Kraków,False,b2b,27000.0,32000.0,2026-08-06,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
SO2BM1US-2026-08-10,SO2BM1US,MLOps Platform Technical Owner,hubQuest,artificialIntelligence,Expert,Warszawa,True,b2b,35000.0,40500.0,2026-07-13,52.2296756,21.0122287,2026-08-08,2026-08-10,True
IMIW5TVL-2026-08-10,IMIW5TVL,Data Analyst - Data Excellence,Ledgebrook,data,Mid,,True,permanent,12500.0,15850.0,2026-07-22,,,2026-08-08,2026-08-10,True
0SQ1XNDE-2026-08-10,0SQ1XNDE,Junior DevOps Engineer,Acaisoft Poland Sp. z o.o.,devops,Junior,Warszawa,True,b2b,9240.0,11760.0,2026-07-28,52.2296756,21.0122287,2026-08-08,2026-08-10,True
IPK3HOFL-2026-08-10,IPK3HOFL,Principal Program Manager – Safety & Security,Remitly Poland sp. z o.o.,projectManager,Senior,Kraków,False,permanent,21500.0,24000.0,2026-07-16,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
CSHE641X-2026-08-10,CSHE641X,Senior Software .NET Developer,Devire,fullstack,Senior,Warszawa,False,b2b,26880.0,32760.0,2026-08-06,52.2296756,21.0122287,2026-08-08,2026-08-10,True
V6L7FED2-2026-08-10,V6L7FED2,Hardware and Firmware Leader,Kidde Global Solutions,electronics,Expert,gdansk,False,permanent,16000.0,22000.0,2026-08-07,54.35202520000001,18.6466384,2026-08-08,2026-08-10,True
NNIZYDJI-2026-08-10,NNIZYDJI,Starszy Programista .NET z doświadczeniem w Power BI,Devire,backend,Senior,Warszawa,True,b2b,26880.0,30240.0,2026-08-06,52.2296756,21.0122287,2026-08-08,2026-08-10,True
6ZCXFOZP-2026-08-10,6ZCXFOZP,Senior Technical Fircosoft Consultant,Devire,businessAnalyst,Senior,,True,b2b,42000.0,50400.0,2026-08-06,,,2026-08-08,2026-08-10,True
HM6MXEWS-2026-08-10,HM6MXEWS,Embedded C Developer,Devire,embedded,Senior,,True,b2b,20160.0,25200.0,2026-08-06,,,2026-08-08,2026-08-10,True
YTFWLPSD-2026-08-10,YTFWLPSD,Remote Account Manager,Spribe OÜ,sales,Mid,,True,b2b,12911.0,17214.0,2026-08-03,,,2026-08-08,2026-08-10,True
MUIVDIPJ-2026-08-10,MUIVDIPJ,Project Manager,Devire,projectManager,Mid,,True,b2b,16800.0,21000.0,2026-08-06,,,2026-08-08,2026-08-10,True
VSWAC8J2-2026-08-10,VSWAC8J2,Remote Business Development Manager,Spribe OÜ,sales,Senior,,True,b2b,21518.0,25822.0,2026-08-03,,,2026-08-08,2026-08-10,True
GRPEHSCP-2026-08-10,GRPEHSCP,Senior Project Manager,Ework Group,projectManager,Senior,Warszawa,False,b2b,23520.0,26880.0,2026-07-22,52.2296756,21.0122287,2026-08-08,2026-08-10,True
H61WYNML-2026-08-10,H61WYNML,Underwriting Support Analyst,Ledgebrook,officeAdministration,Mid,,True,permanent,12500.0,14000.0,2026-07-16,,,2026-08-08,2026-08-10,True
G80SYMET-2026-08-10,G80SYMET,Data Engineer (Azure),Addepto,data,Mid,Warszawa,True,b2b,12600.0,21000.0,2026-08-03,52.2296756,21.0122287,2026-08-08,2026-08-10,True
T7XZ9CPP-2026-08-10,T7XZ9CPP,Inżynier oprogramowania (Python),Akademia Górniczo-Hutnicza,fullstack,Mid,Kraków,False,permanent,8000.0,11000.0,2026-07-28,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
4LFBDJDB-2026-08-10,4LFBDJDB,Consultant/Analytic D365 (Sales),Link Group,businessAnalyst,Senior,Warszawa,False,b2b,19656.0,25200.0,2026-08-06,52.2296756,21.0122287,2026-08-08,2026-08-10,True
6ODIBSEJ-2026-08-10,6ODIBSEJ,DevOps Engineer (Regular/Senior),Spyrosoft,devops,Senior,Wrocław,True,permanent,13440.0,25200.0,2026-07-22,51.10929480000001,17.0386019,2026-08-08,2026-08-10,True
XOGMNLT9-2026-08-10,XOGMNLT9,"Senior Software Engineer, GMM",Remitly Poland sp. z o.o.,backend,Senior,Kraków,False,permanent,27000.0,30000.0,2026-07-16,50.06465009999999,19.9449799,2026-08-08,2026-08-10,True
OCHKYDBB-2026-08-10,OCHKYDBB,Software Engineer (PHP / Drupal / JavaScript),NEXAI Sp. z o.o.,fullstack,Mid,Poznań,False,b2b,13000.0,15000.0,2026-07-16,52.40567859999999,16.9312766,2026-08-08,2026-08-10,True
XCTAJD3D-2026-08-10,XCTAJD3D,Remote DevOps Tech Lead,Spribe OÜ,devops,Expert,Warszawa,True,b2b,38733.0,43037.0,2026-08-03,52.2296756,21.0122287,2026-08-08,2026-08-10,True
CZA8MXRZ-2026-08-10,CZA8MXRZ,Project Manager,Devire,projectManager,Senior,,True,b2b,21000.0,25200.0,2026-08-04,,,2026-08-08,2026-08-10,True
